feature_name,description,unit,source,resolution,temporal_window,data_type,missing_value_policy,normalization,potential_leakage,notes
elevation,Surface elevation above WGS84 ellipsoid,meters,NASA SRTM / Copernicus DEM,30m,Static baseline,float64,Sub-catchment median,StandardScaler (Z-score),None,Fundamental topographic relief factor
slope,Topographic surface gradient driving shear stress,degrees,NASA SRTM DEM derived,30m,Static baseline,float64,Sub-catchment median,MinMaxScaler [0-90 deg],None,Primary physical driver in Mohr-Coulomb limit equilibrium
aspect,Compass azimuth orientation of slope face,degrees,NASA SRTM DEM derived,30m,Static baseline,float64,Circular mean,Cos/Sin circular transform,None,Interception of South-West monsoon rain-bearing winds
curvature,Slope profile and planform curvature,dimensionless,Topographic DEM filter,30m,Static baseline,float64,Zero imputation (Planar),RobustScaler [-2 to +2],None,Negative values indicate convergent hollows concentrating pore water
roughness,Local topographic surface roughness index,index,DEM focal filter,30m,Static baseline,float64,Median,MinMaxScaler [0-10],None,Morphological texture indicator
twi,Topographic Wetness Index ln(a / tan beta),dimensionless,Hydrological DEM flow routing,30m,Static baseline,float64,Catchment median,StandardScaler [0-30],None,Quantifies subsurface saturation and seepage convergence potential
rain_1h,Precipitation accumulation in immediate 1-hour window,mm,IMD AWS Mesonet / ERA5,Station / 0.25 deg,1 hour,float64,Zero imputation,Log1p transform [0-250 mm],High if post-event data used,Instantaneous cloudburst trigger
rain_3h,Cumulative rainfall over preceding 3 hours,mm,IMD AWS Mesonet / ERA5,Station / 0.25 deg,3 hours,float64,Zero imputation,Log1p transform [0-400 mm],Strictly pre-event,Short-horizon surge trigger
rain_6h,Cumulative rainfall over preceding 6 hours,mm,IMD AWS Mesonet / ERA5,Station / 0.25 deg,6 hours,float64,Zero imputation,Log1p transform [0-600 mm],Strictly pre-event,Early warning operational trigger
rain_12h,Cumulative rainfall over preceding 12 hours,mm,IMD AWS Mesonet / ERA5,Station / 0.25 deg,12 hours,float64,Zero imputation,Log1p transform [0-800 mm],Strictly pre-event,Half-day saturation driver
rain_24h,Cumulative rainfall over preceding 24 hours,mm,IMD AWS & Gridded Daily,Station / 0.25 deg,24 hours,float64,IDW spatial interpolation,Log1p transform [0-1200 mm],Strictly pre-event,Standard shallow landslide trigger
rain_48h,Cumulative rainfall over preceding 48 hours,mm,IMD AWS & Gridded Daily,Station / 0.25 deg,48 hours,float64,IDW spatial interpolation,Log1p transform [0-1800 mm],Strictly pre-event,Soil saturation buildup
rain_72h,Cumulative rainfall over preceding 72 hours (API72),mm,IMD AWS & Gridded Daily,Station / 0.25 deg,72 hours,float64,IDW spatial interpolation,Log1p transform [0-2500 mm],Strictly pre-event,Medium-term antecedent precipitation index
rain_7d,Antecedent rainfall over preceding 7 days,mm,IMD Gridded Daily NetCDF,0.25 deg (~25km),7 days,float64,Historical grid mean,Log1p transform,Strictly pre-event,Sub-surface groundwater table elevation
rain_15d,Antecedent rainfall over preceding 15 days,mm,IMD Gridded Daily NetCDF,0.25 deg (~25km),15 days,float64,Historical grid mean,Log1p transform,Strictly pre-event,Deep-seated saprolite saturation
rain_30d,Antecedent rainfall over preceding 30 days,mm,IMD Gridded Daily NetCDF,0.25 deg (~25km),30 days,float64,Historical grid mean,Log1p transform,Strictly pre-event,Seasonal monsoonal base saturation
lithology_grade,Bedrock weathering grade from fresh crystalline to residual soil,grade (1-5),GSI 1:50000 Geological Maps,1:50000,Static baseline,int32,Mode of geological formation,Ordinal scale [1-5],None,Grade 1: Fresh charnockite; Grade 5: Highly weathered colluvium
soil_depth,Estimated depth of permeable soil mantle over bedrock,meters,ICAR National Soil Bureau / GSI,250m,Static baseline,float64,Regional median,StandardScaler [0-10m],None,Controls shear slip surface depth and driving mass
lulc_class,Land Use Land Cover classification,class id (0-3),NRSC Bhuvan LULC 2023,10m,Annual baseline,int32,Mode,Categorical One-Hot,None,Dense canopy vs tea plantation cuts vs road excavations
ndvi,Normalized Difference Vegetation Index,index (-1 to +1),Copernicus Sentinel-2 MSI,10m,5-day repeat,float64,Forward temporal fill,StandardScaler [-1 to +1],Avoid post-event imagery,Pre-failure root reinforcement indicator
distance_to_stream_m,Euclidean proximity to natural drainage stream,meters,Survey of India / OSM Drainage,Vector,Static,float64,Spatial clip max (5000m),Log1p transform,None,Fluvial toe scour and saturated base zone
distance_to_fault_km,Proximity to mapped regional thrust fault or shear zone,km,GSI Seismo-Tectonic Atlas,1:500000,Static,float64,Clip max (100km),MinMaxScaler [0-100km],None,Fracture density and daylighting shear planes
sar_coherence_loss,Interferometric InSAR complex coherence loss (1 - gamma),dimensionless,Copernicus Sentinel-1 C-Band SAR,10m,6-12 day repeat,float64,Forward temporal fill,MinMaxScaler [0-1],Use repeat-pass pre/post pair,Radar indicator of surface displacement
sar_backscatter_diff_db,Differential radar backscattering cross-section Delta-sigma0,dB,Sentinel-1 GRD SAR,10m,6-12 day repeat,float64,Zero imputation,StandardScaler [-30 to +30 dB],Use repeat-pass pair,Surface roughness and soil moisture surge
distance_to_road_m,Distance to nearest arterial highway or ghat road corridor,meters,OpenStreetMap / NHAI / State PWD,Sub-meter vector,Continuous,float64,Clip max (10000m),Log1p transform,None,Model 5 & 6 Lifeline vulnerability and slope cut destabilization
distance_to_bridge_m,Distance to nearest highway bridge or stream culvert,meters,OpenStreetMap (ODbL 1.0),Sub-meter vector,Continuous,float64,Clip max (20000m),Log1p transform,None,Bridge abutment washout risk
distance_to_hospital_m,Distance to nearest medical facility or emergency response center,meters,OpenStreetMap (ODbL 1.0),Point vector,Continuous,float64,Clip max (50000m),Log1p transform,None,Evacuation access and critical lifeline isolation
population_density,Estimated population density within 1km buffer,persons/km2,WorldPop India / Census of India,100m,Annual,float64,District mean,Log1p transform,None,Aggregated spatial exposure without PII
geotechnical_fs,Factor of Safety from Mohr-Coulomb limit equilibrium,dimensionless,Geotechnical Physics Engine,Point,Calculated,float64,Physics calculation,Direct physical scale [0-10],Target invariant,Fs < 1.0 defines impending mechanical slope failure
label_landslide,Binary ground truth indicator of landslide occurrence,binary (0/1),GSI NLFC & ISRO NRSC Atlas,Point/Polygon,Event-based,int32,No missing values,Binary classification target,Ground truth label,Model A target: 1 = failure, 0 = verified stable control
